,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
아산,26,23,82,22,47,47,15,35,32,47,29,40,5
아우라지,7,11,7,17,23,9,5,7,14,6,5,2,1
안강,1,3,6,10,13,26,4,21,1,6,45,7,2
안동,26,8,17,28,14,8,21,14,10,79,41,24,3
안양,26,20,35,24,71,86,21,23,36,56,33,37,1
약목,3,1,3,4,2,5,3,2,1,6,3,1,0
양동,8,53,16,15,9,15,15,6,0,13,8,7,0
양보,5,3,9,10,4,15,2,1,0,1,2,1,0
양수,9,8,15,11,15,15,9,14,2,14,4,3,5
양원,4,5,19,18,13,4,7,4,3,21,3,8,1
양평,13,21,20,34,36,27,48,26,5,45,25,29,5
여수엑스포,73,38,39,27,15,40,18,23,12,11,9,36,4
여천,35,13,24,25,18,35,16,16,3,5,13,6,0
연무대,4,1,7,4,3,7,0,1,1,2,0,1,0
연산,2,3,8,11,17,10,6,3,2,7,0,6,0
연천,5,40,9,27,47,19,23,25,22,11,2,13,10
영동,4,2,11,15,29,19,7,4,0,6,3,4,0
영등포,35,34,45,49,76,89,34,76,34,74,81,52,5
영월,3,4,15,9,17,8,2,5,0,15,5,1,1
영주,12,7,50,24,24,34,27,27,8,62,65,25,1
영천,10,6,10,13,7,14,3,11,3,14,44,9,1
예당,1,3,5,6,3,2,2,2,0,1,1,1,0
예미,1,2,5,6,11,7,3,5,0,13,4,1,0
예산,3,3,20,5,16,8,2,13,1,2,0,2,0
예천,7,3,6,4,3,11,6,5,2,26,9,2,0
오근장,3,7,6,17,8,14,11,14,2,9,2,2,0
오산,7,17,20,17,24,53,28,18,19,49,18,44,3
오송,48,68,60,97,159,110,55,50,25,61,38,28,12
오수,12,8,6,5,5,7,7,8,0,3,5,5,0
옥곡,5,2,7,8,3,31,6,1,0,1,0,1,0
옥산,8,3,5,7,3,4,5,7,6,16,6,1,0
옥천,5,1,10,9,41,26,22,3,0,8,1,5,2
온양온천,9,17,25,15,36,46,30,22,10,31,15,34,8
완사,6,3,7,6,6,26,9,4,0,2,4,2,0
왜관,17,4,13,9,14,16,9,5,3,17,5,2,0
용궁,2,3,8,6,5,3,3,6,5,16,8,3,0
용문,11,28,15,28,33,49,50,32,3,34,19,13,3
용산,78,77,83,147,161,164,86,84,41,94,102,60,9
운천,6,4,10,14,6,14,3,7,6,23,20,36,12
울산,29,26,31,18,32,24,37,24,3,11,8,22,4
웅천,5,2,7,6,9,5,4,13,1,17,5,2,1
원동,12,4,5,12,9,9,7,4,1,7,3,1,9
원주,18,11,18,21,28,17,29,26,6,79,64,18,2
월내,16,5,5,4,3,9,23,15,13,5,34,22,1
음성,2,3,1,4,6,8,8,6,0,4,1,1,1
의성,3,3,5,14,4,6,1,11,2,10,2,4,2
의왕,14,27,29,15,16,39,12,20,21,39,11,22,1
의정부,32,49,28,54,50,57,24,25,32,42,18,22,6
이양,1,2,4,7,2,4,11,3,0,2,1,1,0
이원,3,3,4,6,11,8,5,3,0,7,3,2,0
