,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
서빙고,9,17,24,45,76,95,112,126,132,142,146,153,161
서울,149,237,371,573,862,1126,1268,1488,1638,1870,2031,2137,2173
서정리,9,20,38,71,88,133,157,172,185,228,248,274,278
서천,2,13,25,30,41,48,51,62,64,67,69,70,71
석불,10,30,39,48,56,63,67,70,70,78,83,92,92
석포,1,5,11,17,21,26,27,29,30,43,46,48,49
선평,7,8,9,15,31,34,40,44,50,70,74,75,75
성환,14,30,57,79,101,144,154,171,189,219,240,259,263
센텀,10,11,21,51,96,237,265,281,283,293,305,314,317
소요산,19,71,99,132,176,224,258,291,319,361,395,427,439
소정리,3,7,14,22,36,45,72,74,74,78,78,79,79
송정,12,19,44,60,73,170,199,211,214,222,230,248,252
수색,13,34,43,77,108,137,149,178,184,206,227,239,242
수원,42,133,323,432,606,778,848,927,980,1146,1274,1353,1361
순천,52,83,123,161,168,216,232,250,254,263,269,273,274
승부,1,9,33,46,62,68,76,86,87,107,115,117,118
신경주,0,0,0,0,0,0,0,0,0,0,0,0,1
신기,3,7,11,17,19,25,28,30,31,49,58,60,61
신녕,3,6,9,14,19,25,27,32,33,45,50,54,55
신동,1,2,5,11,15,23,25,26,28,47,50,54,54
신례원,3,10,29,42,56,66,72,88,89,93,93,94,94
신림,14,24,29,36,43,47,55,69,73,92,103,104,105
신망리,8,29,34,38,39,47,47,51,60,69,69,71,71
신창,17,54,82,99,133,216,256,285,339,385,438,471,475
신창원,8,15,24,31,42,47,50,52,52,54,55,56,56
신탄리,19,82,92,116,125,141,142,163,191,198,206,207,211
신탄진,34,53,59,75,89,120,134,145,145,160,163,176,184
신태인,3,6,10,22,29,41,47,55,57,65,66,67,68
신해운대,32,43,87,164,196,358,406,427,433,445,459,474,478
심천,5,8,13,18,32,43,50,50,52,57,58,60,61
쌍룡,5,13,20,27,31,34,35,39,39,50,53,55,55
아산,26,49,131,153,200,247,262,297,329,376,405,445,450
아우라지,7,18,25,42,65,74,79,86,100,106,111,113,114
안강,1,4,10,20,33,59,63,84,85,91,136,143,145
안동,26,34,51,79,93,101,122,136,146,225,266,290,293
안양,26,46,81,105,176,262,283,306,342,398,431,468,469
약목,3,4,7,11,13,18,21,23,24,30,33,34,34
양동,8,61,77,92,101,116,131,137,137,150,158,165,165
양보,5,8,17,27,31,46,48,49,49,50,52,53,53
양수,9,17,32,43,58,73,82,96,98,112,116,119,124
양원,4,9,28,46,59,63,70,74,77,98,101,109,110
양평,13,34,54,88,124,151,199,225,230,275,300,329,334
여수엑스포,73,111,150,177,192,232,250,273,285,296,305,341,345
여천,35,48,72,97,115,150,166,182,185,190,203,209,209
연무대,4,5,12,16,19,26,26,27,28,30,30,31,31
연산,2,5,13,24,41,51,57,60,62,69,69,75,75
연천,5,45,54,81,128,147,170,195,217,228,230,243,253
영동,4,6,17,32,61,80,87,91,91,97,100,104,104
영등포,35,69,114,163,239,328,362,438,472,546,627,679,684
영월,3,7,22,31,48,56,58,63,63,78,83,84,85
영주,12,19,69,93,117,151,178,205,213,275,340,365,366
영천,10,16,26,39,46,60,63,74,77,91,135,144,145
예당,1,4,9,15,18,20,22,24,24,25,26,27,27
예미,1,3,8,14,25,32,35,40,40,53,57,58,58
예산,3,6,26,31,47,55,57,70,71,73,73,75,75
예천,7,10,16,20,23,34,40,45,47,73,82,84,84
오근장,3,10,16,33,41,55,66,80,82,91,93,95,95
오산,7,24,44,61,85,138,166,184,203,252,270,314,317
오송,48,116,176,273,432,542,597,647,672,733,771,799,811
오수,12,20,26,31,36,43,50,58,58,61,66,71,71
옥곡,5,7,14,22,25,56,62,63,63,64,64,65,65
옥산,8,11,16,23,26,30,35,42,48,64,70,71,71
옥천,5,6,16,25,66,92,114,117,117,125,126,131,133
온양온천,9,26,51,66,102,148,178,200,210,241,256,290,298
완사,6,9,16,22,28,54,63,67,67,69,73,75,75
왜관,17,21,34,43,57,73,82,87,90,107,112,114,114
용궁,2,5,13,19,24,27,30,36,41,57,65,68,68
용문,11,39,54,82,115,164,214,246,249,283,302,315,318
용산,78,155,238,385,546,710,796,880,921,1015,1117,1177,1186
운천,6,10,20,34,40,54,57,64,70,93,113,149,161
울산,29,55,86,104,136,160,197,221,224,235,243,265,269
웅천,5,7,14,20,29,34,38,51,52,69,74,76,77
원동,12,16,21,33,42,51,58,62,63,70,73,74,83
원주,18,29,47,68,96,113,142,168,174,253,317,335,337
월내,16,21,26,30,33,42,65,80,93,98,132,154,155
음성,2,5,6,10,16,24,32,38,38,42,43,44,45
의성,3,6,11,25,29,35,36,47,49,59,61,65,67
의왕,14,41,70,85,101,140,152,172,193,232,243,265,266
의정부,32,81,109,163,213,270,294,319,351,393,411,433,439
이양,1,3,7,14,16,20,31,34,34,36,37,38,38
이원,3,6,10,16,27,35,40,43,43,50,53,55,55
익산,39,55,96,158,255,339,372,417,430,469,483,498,506
인천공항 T1,17,73,104,196,269,406,508,602,614,648,690,715,724
일로,8,12,18,26,30,40,45,48,48,52,53,59,59
일산,5,25,47,70,93,123,133,156,167,193,207,239,270
일신,0,0,3,3,3,3,3,4,4,21,29,31,31
임기,0,3,10,20,21,23,34,36,38,45,49,51,51
임성리,9,17,30,42,57,66,67,71,72,77,77,89,89
임실,6,12,16,19,24,40,47,53,53,56,59,64,67
임진강,6,19,27,55,62,73,80,92,102,225,297,315,330
장성,2,8,22,46,60,80,88,97,108,126,129,139,139
장항,6,13,29,37,53,64,66,79,79,86,91,92,94
전곡,8,25,29,41,53,65,78,90,101,111,112,120,129
전의,9,15,22,30,43,71,89,103,104,119,120,128,128
전주,27,40,68,91,144,175,195,216,224,252,264,284,285
점촌,5,11,17,23,30,35,41,47,51,76,87,88,88
정동진,22,62,92,127,153,170,187,218,221,309,322,336,340
정선,2,10,16,27,49,54,60,63,65,71,73,74,75
정읍,1,6,20,56,105,140,170,184,187,204,209,216,217
제천,29,44,74,119,154,188,215,247,265,335,382,394,395
조성,2,5,9,14,15,18,20,22,22,24,25,26,26
조치원,12,31,50,86,112,134,158,181,183,208,223,237,239
좌천,10,15,27,34,39,58,90,104,114,131,186,202,203
주덕,2,5,6,11,16,25,32,35,36,40,42,43,43
중동,11,19,28,38,48,72,73,81,89,98,104,113,114
중리,5,19,30,36,42,50,51,53,54,57,60,62,62
증평,5,9,14,17,28,41,50,53,53,63,65,66,66
지탄,3,6,12,19,37,44,49,51,52,59,63,66,67
지평,14,54,72,90,122,177,237,247,250,281,313,330,334
진례,17,24,33,43,49,55,58,60,61,62,63,67,67
진부,0,0,0,0,0,0,26,65,66,82,91,102,102
진상,5,8,14,23,29,57,70,76,76,78,82,86,86
진영,33,61,83,103,114,129,146,163,165,170,175,177,178
진주,7,76,123,179,191,221,243,269,274,277,289,297,298
진해,17,47,64,77,94,107,111,116,118,121,130,132,133
창동,14,32,61,86,108,198,206,227,269,299,340,390,394
창원,16,25,67,103,122,142,163,181,183,187,190,193,193
창원중앙,18,60,82,113,128,149,172,187,189,199,203,206,206
천안아산,63,105,150,178,222,293,327,353,381,417,439,471,477
천안,65,107,166,203,326,420,492,542,580,655,684,716,721
철암,8,13,43,56,69,75,89,95,99,114,121,125,126
청도,3,12,17,39,42,57,63,69,71,84,88,95,95
청량리,61,165,249,340,470,637,703,849,918,1111,1226,1298,1333
청리,1,4,8,13,17,22,25,26,28,41,42,43,43
청소,1,2,4,7,12,20,24,26,27,36,38,43,43
청주공항,5,14,22,43,55,79,88,109,113,148,154,163,163
청주,6,23,40,52,65,88,103,113,114,132,137,142,142
청평,23,36,53,63,97,124,141,166,168,175,187,196,198
초성리,10,38,42,60,68,88,101,110,124,131,133,136,143
추암,5,8,9,14,16,18,20,22,23,27,28,34,35
추전,4,9,29,43,54,62,70,73,77,81,84,86,86
추풍령,1,5,10,16,29,36,40,41,41,46,47,48,48
춘양,41,56,95,133,148,152,162,172,172,186,197,199,199
춘천,74,94,118,140,162,197,231,248,257,272,289,308,310
충주,4,8,24,38,57,73,102,111,112,125,158,187,187
탑리,3,5,10,16,20,28,35,42,44,52,55,60,61
태백,2,7,20,33,43,48,53,58,64,82,87,89,89
태화강,16,27,52,67,81,114,138,165,176,190,288,362,377
퇴계원,16,32,47,64,72,91,106,111,116,124,130,141,143
판교,7,14,26,33,44,53,55,57,60,75,77,78,80
평내호평,18,35,56,66,85,110,122,136,138,144,151,170,172
평창,0,0,0,0,0,0,30,66,69,74,78,82,82
평택,13,30,65,116,182,241,300,354,372,425,451,494,498
포항,0,0,0,0,26,53,79,102,111,130,172,190,191
풍기,9,13,28,46,59,67,74,83,83,103,126,158,160
하동,6,11,27,39,42,85,86,89,90,91,97,98,98
하양,6,18,25,37,51,68,76,101,108,120,151,154,155
한림정,13,18,21,28,37,42,49,54,54,55,55,60,60
한탄강,5,23,29,60,69,87,103,112,122,138,142,149,150
함안,10,32,52,73,86,102,116,124,127,129,133,134,134
함열,2,3,6,12,22,28,31,36,36,53,56,59,59
함창,0,3,7,12,14,22,27,30,32,45,46,47,47
함평,15,19,25,36,41,58,64,69,69,78,78,82,83
행신,28,54,93,154,218,282,302,326,349,383,412,447,459
현동,1,4,10,17,19,21,29,30,33,39,44,46,46
호계,11,17,23,34,40,53,55,61,63,70,99,100,100
홍성,2,15,30,44,64,76,84,99,102,112,114,118,120
화명,5,8,12,24,47,56,64,66,67,68,71,72,72
화본,4,7,11,18,21,29,42,50,53,61,69,75,83
화순,8,11,15,21,26,30,35,38,40,42,47,48,48
황간,6,9,14,23,39,45,52,54,54,59,60,63,64
횡성,0,0,0,0,0,0,34,65,67,75,79,84,84
횡천,5,8,14,22,29,57,57,60,61,63,66,67,67
효자,3,9,13,18,29,40,42,48,48,51,57,58,58
효천,7,16,25,33,35,38,43,47,48,51,59,60,60
희방사,5,9,14,19,24,27,31,37,37,51,57,58,58
