,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
동화,8,5,8,9,11,18,31,20,20,56,41,12,4
둔내,0,0,0,1,6,11,47,28,11,19,37,27,8
득량,0,0,11,11,19,8,9,14,15,20,15,13,2
마산,19,27,18,16,55,48,32,61,53,76,99,53,30
마석,5,14,18,12,25,23,27,31,29,30,35,32,11
만종,1,1,4,7,10,23,107,77,50,64,101,49,18
망상해변,0,2,2,12,10,8,5,13,20,17,29,17,4
망우,10,7,15,18,32,42,56,44,52,69,32,31,21
매곡,4,6,8,0,14,12,13,7,17,32,21,38,7
명봉,4,0,5,6,20,9,9,13,14,19,19,11,7
목포,11,11,9,9,21,38,42,56,52,64,54,46,13
몽탄,5,3,3,3,15,9,11,3,11,21,15,10,3
무안,3,1,9,3,15,9,14,3,7,20,17,11,3
묵호,0,5,3,1,13,11,10,24,28,61,56,70,10
문산,12,23,13,37,62,56,94,95,50,136,95,65,41
물금,13,4,8,14,27,25,11,55,37,40,38,85,16
민둥산,0,6,9,2,33,13,12,11,18,29,12,17,5
밀양,0,11,21,12,28,27,16,43,37,37,62,60,18
반곡,2,0,8,5,13,15,12,17,24,37,36,11,10
반성,0,10,6,5,17,11,7,34,11,11,38,14,3
백마고지,0,35,25,22,45,25,41,46,61,65,62,50,10
백양사,0,0,7,4,18,11,9,11,19,14,18,9,8
백운,4,4,0,1,1,31,12,25,30,40,48,60,13
벌교,0,0,14,13,36,14,7,11,9,27,31,15,8
별어곡,3,0,3,2,11,8,8,5,4,12,7,10,4
보성,0,0,21,52,39,20,12,32,19,40,31,22,20
봉양,3,1,3,4,27,12,8,7,16,77,69,34,11
봉화,3,3,2,2,11,5,11,11,14,33,16,14,5
부강,0,7,8,6,16,15,26,29,14,29,23,23,6
부산,3,0,11,53,95,90,113,108,137,177,147,137,33
부전,1,0,12,35,83,140,77,87,66,133,194,93,30
북영천,1,1,5,5,14,14,9,16,24,26,39,24,19
북천,6,1,5,6,20,33,11,20,12,18,34,15,3
분천,0,0,7,3,20,12,12,11,16,37,20,19,5
불국사,4,4,6,0,16,11,16,32,27,33,74,26,12
비동,0,0,9,3,9,6,5,17,5,17,12,25,5
사곡,2,23,14,31,30,32,49,35,26,57,22,21,7
사북,3,3,4,0,11,8,9,14,12,30,6,13,4
사상,0,8,16,6,46,64,36,54,30,55,65,42,33
삼랑진,7,3,4,10,20,20,9,26,18,30,17,25,15
삼례,2,2,3,6,13,11,8,14,11,13,8,13,6
삼산,0,0,5,5,16,23,11,9,11,35,57,33,9
삼탄,3,1,7,2,15,10,6,14,11,36,21,14,8
삽교,0,0,4,4,13,11,12,7,18,15,23,31,15
상동,10,3,10,2,14,19,5,16,5,13,26,24,4
상주,0,0,0,0,8,11,2,9,21,23,24,18,1
서경주,0,0,0,0,0,0,0,0,0,0,43,80,17
서광주,0,2,16,22,28,12,15,11,20,24,25,20,11
서대전,16,4,21,32,85,67,70,67,57,93,78,103,33
서빙고,5,8,17,22,45,58,28,40,26,54,43,29,16
서울,19,47,90,148,298,334,562,471,302,439,415,520,151
서정리,7,9,12,10,25,61,31,71,25,82,63,85,42
서천,6,1,4,2,14,10,10,14,17,23,17,15,9
석불,5,9,9,8,18,25,17,22,18,32,30,42,12
석포,1,4,5,3,9,15,12,11,10,44,17,12,7
선평,2,0,3,2,14,8,8,9,4,24,5,10,2
성환,6,8,17,11,52,38,30,56,41,77,47,91,29
센텀,4,0,10,11,105,150,78,69,41,45,104,46,20
소요산,0,2,18,21,43,57,93,72,70,167,91,128,51
소정리,0,2,7,2,14,15,22,16,5,17,9,13,3
송정,10,4,21,31,36,80,43,36,27,69,76,50,10
수색,8,25,21,48,37,35,23,42,50,42,155,314,48
수원,19,42,125,190,212,243,236,215,177,385,165,194,89
순천,1,1,0,0,112,62,34,33,32,69,67,48,37
승부,0,9,5,7,22,14,8,21,11,50,16,18,6
신경주,0,0,0,0,0,0,0,0,0,0,0,0,1
신기,1,2,3,1,10,10,7,20,12,30,19,15,9
신녕,1,0,3,2,8,6,4,5,8,28,37,29,10
신동,0,3,11,3,25,15,8,20,14,25,25,30,6
신례원,3,0,4,2,11,11,15,8,18,20,12,18,10
신림,0,1,3,6,12,15,9,11,17,50,31,14,4
신망리,4,11,3,2,12,13,14,13,26,23,22,13,6
신창,0,5,24,32,99,91,57,106,81,108,78,97,36
신창원,0,2,6,3,14,9,13,16,15,21,17,14,10
신탄리,5,24,10,9,34,19,15,25,36,43,24,24,9
신탄진,4,6,10,18,27,26,48,64,33,54,26,48,24
신태인,6,2,3,0,29,26,11,82,20,22,26,18,12
신해운대,0,0,20,26,57,157,87,82,64,74,138,67,23
심천,0,1,7,2,14,9,8,16,11,20,23,18,9
쌍룡,0,2,10,12,25,10,10,10,7,28,15,12,8
아산,0,0,0,0,3,0,18,0,0,64,0,0,0
아우라지,0,0,4,3,19,28,26,13,5,22,14,27,5
안강,1,11,13,15,49,41,22,31,20,26,155,72,17
안동,4,10,22,20,22,28,25,39,38,255,285,82,30
안양,13,21,28,41,43,92,57,73,81,98,86,152,36
약목,0,0,9,0,18,13,3,11,5,23,14,27,7
양동,0,1,8,8,15,17,17,7,20,34,41,44,9
양보,2,3,3,11,16,32,10,4,6,8,1,6,4
양수,7,10,9,21,19,21,14,22,16,24,24,15,12
양원,0,0,7,11,22,6,10,18,12,52,58,31,13
양평,6,4,9,14,20,29,74,67,48,78,95,66,11
여수엑스포,3,8,21,12,36,32,35,42,30,42,33,46,38
여천,22,5,14,13,34,32,17,38,25,32,17,28,29
연무대,0,1,5,1,15,9,8,3,27,39,15,22,4
연산,2,3,6,3,17,19,21,15,15,17,27,10,5
연천,2,12,5,5,30,27,41,61,56,76,62,80,47
영동,11,3,19,12,19,22,19,43,17,25,33,26,7
영등포,20,21,29,69,125,175,147,205,123,201,158,191,73
영월,2,2,4,3,22,9,21,12,7,25,11,13,5
영주,7,6,8,17,38,29,40,72,59,185,303,146,31
영천,1,8,6,4,23,19,28,37,27,68,177,54,21
예당,0,0,10,24,18,8,9,7,13,19,7,11,3
예미,3,1,7,6,17,9,9,9,8,22,10,19,3
예산,4,2,4,3,16,18,10,14,11,18,9,19,8
예천,1,1,3,0,9,15,10,18,21,24,31,10,2
오근장,0,5,10,6,17,26,8,12,20,23,25,20,9
오산,5,11,17,20,34,53,59,84,45,52,75,91,25
오송,31,51,98,169,187,110,132,128,111,162,149,109,74
오수,0,5,6,5,22,11,4,12,11,13,11,8,6
옥곡,5,1,4,2,19,28,16,2,6,7,2,1,5
옥산,1,2,3,0,16,7,6,13,13,21,18,12,6
옥천,0,4,13,3,24,24,19,18,8,26,16,27,6
온양온천,8,5,12,17,48,56,24,61,44,89,61,52,29
완사,3,2,3,5,19,33,5,27,19,19,13,19,4
왜관,3,15,15,9,44,35,35,56,42,43,41,34,6
용궁,0,2,3,0,10,18,14,21,14,32,37,12,7
용문,0,0,16,26,38,41,43,56,46,74,63,74,15
용산,1,3,1,4,135,179,195,232,160,204,155,215,50
운천,0,1,4,14,28,36,22,21,27,71,86,179,52
울산,0,2,27,37,69,139,114,119,158,139,141,234,41
웅천,2,2,6,1,13,5,9,15,13,53,34,15,10
원동,0,0,0,0,16,16,11,35,23,32,20,30,8
원주,7,8,11,11,27,22,51,56,71,183,218,99,39
월내,0,4,10,2,24,35,19,31,90,44,132,64,6
음성,4,5,6,5,16,17,6,8,7,20,18,13,6
의성,2,2,3,2,8,10,6,14,26,37,59,46,26
의왕,7,13,8,29,27,43,30,85,68,74,71,83,24
의정부,10,15,12,29,39,52,59,85,64,89,96,132,52
이양,5,1,8,13,23,8,4,13,6,19,20,12,4
이원,5,3,6,2,15,23,7,17,9,19,28,32,7
익산,27,11,33,34,186,89,52,121,81,190,73,83,26
인천공항 T1,9,31,34,43,85,126,236,193,61,122,68,57,11
일로,2,5,7,7,23,13,11,11,16,27,21,19,5
일산,16,19,21,64,130,43,46,59,62,108,71,49,33
일신,0,0,3,5,24,17,12,15,30,35,30,29,6
임기,2,4,4,2,8,5,9,8,5,30,11,11,5
임성리,0,0,15,13,26,11,14,28,22,31,26,35,14
임실,2,3,8,5,12,8,4,15,20,14,11,47,34
임진강,0,4,8,19,30,40,13,42,77,222,168,76,41
장성,8,3,7,7,32,9,11,16,77,42,34,19,4
장항,0,2,6,14,15,22,11,48,9,23,14,16,11
전곡,2,11,7,8,19,21,15,26,39,75,47,51,40
전의,0,1,10,5,17,22,22,39,17,31,16,22,7
전주,16,6,10,9,57,60,37,61,94,55,46,73,43
점촌,5,2,4,3,11,14,20,22,20,46,31,26,16
정동진,14,16,8,20,47,45,40,105,60,133,99,80,19
정선,0,1,5,2,12,26,14,10,3,21,9,18,3
정읍,13,7,18,16,60,22,15,32,55,43,45,27,6
제천,8,9,17,10,42,32,32,45,41,130,148,64,34
조성,3,2,7,9,23,13,9,9,10,18,9,12,5
조치원,8,13,21,35,65,60,101,81,71,57,52,57,23
좌천,8,0,8,5,27,32,29,53,59,75,231,73,7
주덕,2,4,5,0,10,20,12,8,9,19,25,7,5
중동,0,4,11,17,19,36,8,39,18,25,46,42,10
중리,0,0,6,8,32,38,13,26,16,25,25,20,4
증평,3,3,3,4,18,20,10,9,7,21,26,10,9
지탄,5,4,10,5,12,10,3,26,14,22,36,24,20
지평,9,10,11,5,51,66,94,54,37,100,66,69,21
진례,4,2,5,4,22,21,16,15,6,17,13,11,2
진부,0,0,0,1,5,10,65,63,39,42,35,36,10
진상,4,0,8,7,22,32,10,13,12,20,18,8,3
진영,27,7,15,11,35,36,30,52,35,49,34,27,10
진주,8,33,34,28,98,74,37,68,45,69,88,66,26
진해,0,4,3,4,17,13,7,4,7,20,11,8,4
창동,14,16,19,12,69,74,93,120,79,132,179,166,76
창원,12,11,14,6,51,50,46,50,56,56,59,54,17
창원중앙,25,13,20,13,53,67,53,44,43,97,90,40,20
천안아산,35,36,38,17,171,159,121,185,124,198,132,130,62
천안,10,15,30,12,109,124,100,141,81,114,128,107,46
철암,0,3,13,7,19,14,9,21,18,40,16,22,5
청도,3,15,21,5,21,21,7,29,17,29,22,42,14
청량리,31,33,37,59,97,200,286,405,175,399,260,289,99
청리,1,1,3,2,7,8,1,4,12,23,18,13,4
청소,3,3,10,8,18,13,11,34,9,25,13,18,11
청주공항,9,5,10,8,21,23,19,21,25,26,54,33,14
청주,0,9,16,22,30,30,25,31,42,69,47,22,14
청평,10,8,9,26,27,30,22,27,23,36,23,37,8
초성리,2,9,10,13,30,29,41,30,46,53,42,41,32
추암,4,2,3,0,19,9,7,9,8,18,28,15,4
추전,1,0,10,1,14,8,15,5,5,21,14,12,9
추풍령,3,3,8,1,9,14,3,14,9,27,18,21,6
춘양,1,3,6,2,15,7,5,14,24,29,13,18,4
춘천,9,21,23,17,37,45,48,70,46,53,72,70,14
충주,0,2,9,9,18,21,12,19,14,48,117,57,19
탑리,3,1,6,7,12,7,11,7,22,25,37,20,18
태백,4,2,3,0,9,7,6,17,16,24,11,15,14
태화강,7,13,25,36,50,52,45,102,142,142,588,172,27
퇴계원,14,16,14,26,37,17,32,35,27,34,50,26,12
판교,1,2,5,4,13,13,8,13,12,28,14,18,9
평내호평,0,0,21,21,25,26,39,56,31,51,46,56,12
평창,0,0,0,1,6,6,76,76,24,26,52,36,2
평택,8,15,24,32,79,75,94,113,59,98,79,119,35
포항,7,9,30,24,199,96,75,134,75,76,125,55,22
풍기,4,3,4,3,23,16,18,20,18,70,83,52,41
하동,4,0,5,6,27,32,10,21,18,26,32,13,3
하양,7,20,27,14,57,90,37,83,84,103,99,37,3
한림정,7,0,3,5,18,12,11,20,15,23,13,14,4
한탄강,4,11,5,10,14,11,19,15,37,31,21,21,17
함안,0,14,12,12,55,32,32,41,24,21,26,14,4
함열,2,1,4,1,14,14,13,19,11,20,17,14,5
함창,2,1,4,3,9,12,3,8,10,21,14,12,4
함평,4,3,4,1,17,10,17,9,29,21,20,14,5
행신,32,21,18,50,78,52,78,86,100,137,154,173,50
현동,2,3,2,1,9,5,7,8,6,28,11,9,7
호계,4,1,8,4,18,20,13,41,20,31,78,22,10
홍성,0,0,6,7,78,41,37,17,18,33,43,41,41
화명,7,4,7,5,25,45,28,54,22,38,26,20,8
화본,3,4,3,4,12,16,3,10,29,25,58,66,23
화순,0,0,10,14,19,10,10,12,13,26,19,19,4
황간,3,3,8,4,11,17,3,15,9,24,22,24,6
횡성,0,0,0,2,6,7,49,30,18,18,87,26,5
횡천,3,2,4,14,26,35,14,26,10,21,22,9,3
효자,0,5,4,4,19,19,14,18,23,38,22,12,5
효천,4,1,6,7,19,10,5,16,17,35,15,11,8
희방사,1,2,5,3,8,5,9,7,18,63,19,9,3
